word;english;spanish;portuguese;french;chinese;pinyin;cantonese;jyutping;hindi;arabic;russian;bengali;japanese
bathroom;bathroom;baño;banheiro;salle de bain;浴室;yùshì;浴室;juksāt;स्नानघर;حمام;ванная;পায়খানা;バスルーム
beach;beach;playa;praia;plage;海滩;hǎitān;海滩;hóitāan;बीच;شاطئ;пляж;সৈকত;ビーチ
beard;beard;barba;barba;barbe;胡须;húxū;胡须;wùsōu;दाढ़ी;لحية;борода;দাড়ি;髭
beat;beat;derrotar;derrotar;battre;击败;jībài;击败;gīkbaai;हारना;يهزم;разбивать;সর্বনাশ;負かす
beautiful;beautiful;hermoso;belo;belle;美;měi;美;měi;सुंदर;جميل;красивый;সুন্দর;美人だ
bed;bed;cama;cama;lit;床;chuáng;床;còng;बिस्तर;السرير;кровать;বিছানা;ベッド
bedroom;bedroom;habitación;quarto;chambre à coucher;卧室;wòshì;卧室;ngosāt;शयनकक्ष;غرفة نوم;спальня;শয়নকক্ষ;ベッドルーム
bee;bee;abeja;abelha;abeille;蜜蜂;mìfēng;蜜蜂;matfūng;मधुमक्खी;نحلة;NA;মৌমাছি;蜂
beef;beef;carne de vaca;carne bovina;boeuf;牛肉;niúròu;牛肉;ngàujuk;गोमांस;لحم بقر;говядина;গরুর মাংস;牛肉
beer;beer;cerveza;cerveja;bière;啤酒;píjiǔ;啤酒;bēzáu;बीयर;بيرة;пиво;বিয়ার;ビール
bell;bell;campana;sino;cloche;NA;na;NA;NA;NA;جَرَس;NA;NA;NA
bend;bend;doblar;dobrar;plier;使弯曲;shǐ wānqū;使弯曲;sí wāankūk;मुड़ना;يثني;согнуть;বাঁকানো;曲がる
berry;berry;baya;baga;baie;浆果;jiāngguǒ;浆果;zōenggwó;बेर;حبة;ягода;বেরি;ベリー
beverage;beverage;bebida;bebida;boisson;喝;hē;喝;hôt;पीना;يشرب;напиток;পান করা;ドリンク
bicycle;bicycle;bicicleta;bicicleta;vélo;自行车;zìxíngchē;自行车;zihàngcē;साइकिल;دراجة;велосипед;সাইকেল;自転車
big;big;grande;grande;grand;大;dà;大;daai;बड़े;كبير;большой;বিশাল;大きい
bill;bill;cuenta;conta;facture;账单;zhàngdān;账单;zôengdāan;हुण्डी;فاتورة;законопроект;বিল;ビル
billion;billion;mil millones;bilhão;milliard;十亿;shíyì;十亿;sapjīk;एक अरब;مليار;миллиард;বিলিয়ন;十億
bird;bird;pájaro;pássaro;oiseau;鸟;niǎo;鸟;nǐu;चिड़िया;عصفور;птица;পাখি;鳥
black;black;negro;preto;noir;黑色;hēisè;黑色;hāksīk;काली;أسود;чернить;কালো;黒
blade;blade;cuchilla;lâmina;lame;NA;na;NA;NA;NA;نَصْل;NA;NA;NA
blind;blind;ciego;cego;aveugle;瞎;xiā;瞎;hat;अंधा;أعمى;слепой;অন্ধ;ブラインド
blood;blood;sangre;sangue;sang;血;xuè;血;hyût;खून;دم;кровь;রক্ত;血液
blue;blue;azul;azul;bleu;蓝色;lánsè;蓝色;làamsīk;नीला;أزرق;синий;নীল;青い
board;board;tabla;tábua;planche;NA;na;NA;NA;NA;لَوْح;NA;NA;NA
boat;boat;bote;barco;bateau;船;chuán;船;syùn;नाव;قارب;лодка;নৌকা;ボート
body;body;cuerpo;corpo;corps;身体;shēntǐ;身体;sāntái;तन;جسم;тело;শরীর;体
bone;bone;hueso;osso;os;骨;gǔ;骨;gwāt;हड्डी;عظم;кость;হাড়;骨
book;book;libro;livro;livre;书;shū;书;syū;पुस्तक;الكتاب;книга;বই;本
boot;boot;bota;bota;botte;靴;xuē;靴;hōe;बूट;جزمة;ботинок;বুট;ブート
bottle;bottle;botella;garrafa;bouteille;瓶子;píngzi;瓶子;pìngzí;बोतल;زجاجة;бутылка;বোতল;ボトル
bottom;bottom;fondo;fundo;bas;背景;bèijǐng;背景;bûigíng;पृष्ठभूमि;أسفل;фон;পটভূমি;バックグラウンド
box;box;caja;caixa;boîte;盒子;hézi;盒子;hapzí;डिब्बा;علبة;коробка;বক্স;ボックス
boy;boy;muchacho;menino;garçon;男孩;nánhái;男孩;nàamhàai;लड़का;صبي;мальчик;ছেলে;男の子
brain;brain;cerebro;cérebro;cerveau;脑;nǎo;脑;nǒu;दिमाग;مخ;мозг;মস্তিষ্ক;脳
brake;brake;freno;freio;frein;制动;zhìdòng;制动;zâidung;ब्रेक;فرامل;тормоз;ব্রেক;ブレーキ
branch;branch;rama;filial;branche;分支;fēnzhī;分支;fānzī;शाखा;فرع;ответвляться;শাখা;ブランチ
bread;bread;pan;pão;pain;面包;miànbāo;面包;minbāau;रोटी;خبز;хлеб;রুটি;パン
break;break;romper;quebrar;pause;休息;xiūxi;休息;jāusīk;तोड़ना;يكسر;перемена;বিরতি;ブレーク
breakfast;breakfast;desayuno;café da manhã;petit-déjeuner;早餐;zǎocān;早餐;zóucāan;सुबह का नाश्ता;فطور;завтрак;ব্রেকফাস্ট;朝ごはん
brick;brick;ladrillo;tijolo;brique;砖;zhuān;砖;zyūn;ईंट;طابوق;кирпич;ইট;煉瓦
bridge;bridge;puente;ponte;pont;桥;qiáo;桥;kìu;पुल;كوبري;мост;সেতু;ブリッジ
bring;bring;traer;trazer;apporter;带来;dàilái;带来;dâailòi;लाना;يُحضر;приносить;আনা;持って来ます
brother;brother;hermano;irmão;frère;兄弟;xiōngdì;兄弟;hīngdai;भाई साहब;شقيق;брат;ভাই;兄
brown;brown;marrón;castanho;marron;棕色;zōngsè;棕色;zūngsīk;भूरा;بني;коричневый;বাদামী;褐色
brush;brush;cepillo;escova;brosse;刷子;shuāzi;刷子;câatzí;ब्रश;فرشاة;щетка;ব্রাশ;みがきます
bucket;bucket;balde;balde;seau;桶;tǒng;桶;túng;बाल्टी;دلو;ведро;বালতি;バケツ
build;build;construir;construir;construire;建造;jiànzào;建造;gînzou;निर्माण करना;يبني;строить;বিল্ড;ビルド
building;building;edificio;prédio;bâtiment;大厦;dàshà;大厦;daaihaa;इमारत;بناء;строительство;ভবন;建物
bulb;bulb;bombilla;lâmpada;ampoule;NA;na;NA;NA;NA;مصباح الإضاءة;NA;NA;NA
burn;burn;quemar;queimar;brûler;烧毁;shāohuǐ;烧毁;sīuwái;जलाना;حرق;гореть;পোড়া;燃やす
bus;bus;autobús;ônibus;bus;公共汽车;gōnggòngqìchē;公共汽车;gūnggunghêicē;बस;أوتوبيس;автобус;বাস;バス
button;button;botón;botão;bouton;按钮;ànniǔ;按钮;ônnáu;बटन;زر;кнопка;বোতাম;ボタン
buy;buy;comprar;comprar;acheter;购买;gòumǎi;购买;kâumǎai;खरीदना;شراء;покупка;ক্রয়;購入
cake;cake;pastel;bolo;gâteau;蛋糕;dàngāo;蛋糕;daangōu;केक;كعكة;торт;পিষ্টক;ケーキ
call;call;llamar;chamar;appeler;打电话;dǎdiànhuà;打电话;dáadinwáa;नाम से बुलाना;مكالمة;вызов;কল;コール
camera;camera;cámara;câmera;caméra;相机;xiàngjī;相机;sôenggēi;कैमरा;كاميرا;камера;ক্যামেরা;カメラ
camp;camp;campamento;acampamento;camp;营地;yíng dì;营地;jìngdei;शिविर;مخيّم;лагерь;শিবির;キャンプ
car;car;carro;carro;voiture;车;chē;车;cē;गाड़ी;جمل;машина;গাড়ী;車
card;card;tarjeta;cartão;carte;卡片;kǎpiàn;卡片;kāatpín;कार्ड;بطاقة;карта;কার্ড;カード
carriage;carriage;carruaje;carruagem;chariot;运输;yùnshū;运输;wansyū;गाड़ी;عَربة;перевозка;বহন;キャリッジ
carry;carry;llevar;levar;porter;搬;bān;搬;būn;उठाना;يَحْمِل;нести;বহন করা;運ぶ
cart;cart;carreta;carrinho;charrette;大车;dàchē;大车;daaicē;छकड़ा गाड़ी;حمل;телега;কার্ট;カート
cat;cat;gato;gato;chat;猫;māo;猫;māau;बिल्ली;قطة;кот;বিড়াল;ネコ
catch;catch;capturar;pegar;attraper;抓住;zhuāzhù;抓住;záauzyu;पकड़ना;للإمساك;ловить;ধরা;捕まえる
ceiling;ceiling;techo;teto;plafond;天花板;tiānhuābǎn;天花板;tīnfāabáan;छत;السقف;потолок;ছাদ;天井
cell phone;cell phone;celular;celular;téléphone cellulaire;手机;shǒujī;手机;sáugēi;मोबाइल फ़ोन;الهاتف الخلوي;сотовый телефон;মুঠোফোন;携帯電話
centimeter;centimeter;centímetro;centímetro;centimètre;厘米;límǐ;厘米;lèimǎi;सेंटीमीटर;سنتيمتر;сантиметр;সেনটিমিটার;センチメートル
chain;chain;cadena;corrente;chaîne;链;liàn;链;lìn;जंजीर;سلسلة;цепь;শৃঙ্খল;鎖
chair;chair;silla;cadeira;chaise;椅子;yǐzi;椅子;jízí;कुरसी;كرسي;стул;চেয়ার;椅子
cheap;cheap;barato;barato;bon marché;廉价;liánjià;廉价;lìmgâa;सस्ता;رخيص;дешевый;সস্তা;安いです
cheese;cheese;queso;queijo;fromage;起司;qǐsī;起司;héisī;पनीर;جبنه;сыр;পনির;チーズ
chest;chest;pecho;peito;poitrine;胸部;xiōngbù;胸部;hūngbou;छाती;صدر;грудь;বুক;胸
chicken;chicken;pollo;frango;poulet;鸡;jī;鸡;gāi;मुर्गी;دجاج;курица;মুরগির মাংস;チキン
child;child;niño;criança;enfant;孩子;háizi;孩子;hàaizí;बच्चा;طفل;ребёнок;শিশু;子供
chin;chin;mentón;queixo;menton;下巴;xiàba;下巴;haabāa;ठोड़ी;ذقن;подбородок;থুতনি;顎
church;church;iglesia;igreja;église;教会;jiàohuì;教会;gâauwúi;गिरजाघर;كنيسة;церковь;গির্জা;教会
circle;circle;círculo;círculo;cercle;圆圈;yuánquān;圆圈;jyùnhyūn;वृत्त;دائرة;круг;বৃত্ত;サークル
city;city;ciudad;cidade;ville;城市;chéngshì;城市;sìngsǐ;शहर;مدينة;город;শহর;市
clay;clay;arcilla;argila;argile;黏土;niántǔ;黏土;nīmtóu;चिकनी मिट्टी;فخار;глина;কাদামাটি;粘土
clean (adjective);clean;limpio;limpo;propre;干净;gānjìng;干净;gōnzeng;साफ;نظيف;чистый;পরিষ্কার;掃除
clean (verb);clean;limpiar;limpar;nettoyer;清洁;qīngjié;清洁;cīnggît;साफ करना;نظف;чистить;পরিস্কার করতে;掃除
clock;clock;reloj;relógio;horloge;时钟;shízhōng;时钟;sìzūng;घड़ी;ساعة;часы;ঘড়ি;時計
close;close;cerrar;fechar;fermer;关上;guānshàng;关上;gwāansǒeng;बंद करना;يغلق;закрыть;কাছে;閉じる
clothing;clothing;ropa;roupas;vêtements;服装;fúzhuāng;服装;fukzōng;वस्त्र;ملابس;одежда;বস্ত্র;衣類
cloud;cloud;nube;nuvem;nuage;NA;na;NA;NA;NA;غَيْمة;облако;মেঘ;雲
club;club;club;clube;club;俱乐部;jùlèbù;俱乐部;kēoilokbou;नाइटक्लब;النادي;клуб;ক্লাব;クラブ
coat;coat;saco;casaco;manteau;外套;wàitào;外套;ngoitôu;कोट;معطف;пальто;কোট;コート
coffee;coffee;café;café;café;咖啡;kāfēi;咖啡;gâafē;कॉफ़ी;قهوة;кофе;কফি;コーヒー
cold;cold;frío;frio;froid;寒冷;hánlěng;寒冷;hònlǎang;सर्दी;البرد;холодный;ঠান্ডা;コールド
collar;collar;collar;colarinho;col;NA;na;NA;NA;NA;ياقة;NA;NA;NA
color;color;color;cor;couleur;颜色;yánsè;颜色;ngàansīk;रंग;اللون;цвет;রঙ;色
comb;comb;peine;pente;peigne;NA;na;NA;NA;कंघी;مِشْط;NA;NA;NA
come;come;venir;vir;venir;来;lái;来;lòi;आइए;ليأتي;приехать;আসা;来ます
computer;computer;computadora;computador;ordinateur;电脑;diànnǎo;电脑;dinnǒu;कंप्यूटर;الحاسوب;компьютер;কম্পিউটার;コンピューター
consonant;consonant;consonante;consoante;consonne;辅音;fǔyīn;辅音;fujām;व्यंजन;حرف ساكن;согласный звук;ব্যঞ্জনবর্ণ;子音
contract;contract;contrato;contrato;contrat;合同;hétóng;合同;haptùng;अनुबंध;عقد;договор;চুক্তি;契約する
cook;cook;cocinar;cozinhar;cuisiner;做饭;zuòfàn;做饭;zoufaan;पकाना;يطبخ;готовить;রান্না করতে;料理する
copper;copper;cobre;cobre;cuivre;铜;tóng;铜;tùng;तांबा;نحاس;медь;তামা;銅
corn;corn;maíz;milho;maïs;玉米;yùmǐ;玉米;jukmǎi;मक्का;ذرة;кукуруза;ভূট্টা;コーン
corner;corner;esquina;canto;coin;角落;jiǎoluò;角落;gôklok;कोना;ركن;угол;কোণ;コーナー
count;count;contar;contar;compter;告诉;gàosu;告诉;gôusôu;कहना;أقول;рассказать;বলা;伝えます
country;country;país;país;pays;国家;guójiā;国家;gwôkgāa;देश;بلد;страна;দেশ;国
court;court;corte;quadra;cour;法庭;fǎtíng;法庭;fâattìng;न्यायालय;محكمة;корт;আদালত;裁判所
cow;cow;vaca;vaca;vache;奶牛;nǎiniú;奶牛;nǎaingàu;गाय;بقرة;корова;গাভী;牛
crowd;crowd;multitud;multidão;foule;人群;rénqún;人群;jànkwàn;भीड़;يحشد;толпа;ভিড়;群集
cry;cry;llorar;chorar;pleurer;哭;kū;哭;hūk;रोना;بكاء;плакать;কান্না;泣く
cup;cup;taza;copo;tasse;杯子;bēizi;杯子;būizí;प्याला;كوب;чашка;কাপ;カップ
curtain;curtain;cortina;cortina;rideau;窗帘;chuānglián;窗帘;cōenglím;पर्दा;ستارة;штора;পরদা;カーテン
curved;curved;curvo;curvado;incurvé;弯曲;wānqū;弯曲;wāankūk;वक्र;منحن;изогнутый;বাঁকা;曲がりました
cushion;cushion;almohada;almofada;coussin;NA;na;NA;NA;तकिया;وسادة;подушка;NA;NA
cut;cut;cortar;cortar;couper;切;qiē;切;cît;काटना;يقطع;резать;কাটা;切る
dance;dance;bailar;dançar;danser;跳舞;tiàowǔ;跳舞;tîumǒu;नृत्य करना;يرقص;танцевать;নাচতে;踊る
dark;dark;oscuro;escuro;sombre;黑暗;hēiàn;黑暗;hākâm;अंधेरा;داكن;тьма;অন্ধকার;闇
date;date;fecha;data;date;日期;rìqī;日期;jatkèi;तारीख;تاريخ;дата;তারিখ;日付
daughter;daughter;hija;filha;fille;女儿;nǚér;女儿;něoijì;बेटी;بنت;дочь;কন্যা;娘
day;day;día;dia;journée;天;tiān;天;tīn;दिन;يوم;день;দিন;日
dead;dead;muerto;morto;morte;死;sǐ;死;séi;मृत;ميت;мертвых;মৃত;デッド
deaf;deaf;sordo;surdo;sourd;聋;lóng;聋;lùng;बहरा;اطرش;глухой;বধির;耳の不自由な
death;death;muerte;morte;mort;死亡;sǐwáng;死亡;séimòng;मौत;الموت;смерть;মরণ;死
December;December;diciembre;dezembro;décembre;十二月;shíèryuè;十二月;sapjijyut;दिसंबर;ديسمبر;декабрь;ডিসেম্বর;12月
deep;deep;profundo;profundo;profond;深;shēn;深;sām;गहरा;عميق;глубокий;গভীর;深い
diamond;diamond;diamante;diamante;diamant;钻石;zuànshí;钻石;zyûnsek;हीरा;الماس;ромб;হীরা;ダイヤモンド
die;die;morir;morrer;mourir;去死;qù sǐ;去死;hêoi séi;मरना;يتوفى;умереть;মরতে;死ぬ
difficult;difficult;difícil;difícil;difficile;难;nán;难;nàan;कठिन;صعبة;трудно;কঠিন;難しいです
dig;dig;cavar;cavar;creuser;挖;wā;挖;wâat;खोदना;حفر;копать;খনন করা;掘る
dinner;dinner;cena;jantar;dîner;晚餐;wǎncān;晚餐;mǎancāan;रात्रि भोजन;عشاء;ужин;ডিনার;晩ごはん
direction;direction;dirección;direção;direction;方向;fāngxiàng;方向;fōnghôeng;दिशा;اتجاه;направление;অভিমুখ;方向
dirty;dirty;sucio;sujo;sale;肮脏;āngzāng;肮脏;ōngzōng;गंदा;قذر;грязный;মলিন;汚れた
disease;disease;enfermedad;doença;maladie;疾病;jíbìng;疾病;zatbeng;रोग;مرض;болезнь;রোগ;疾患
doctor;doctor;doctor;doutor;docteur;医生;yīshēng;医生;jīsāng;चिकित्सक;طبيب;врач;ডাক্তার;医師
dog;dog;perro;cachorro;chien;狗;gǒu;狗;gáu;कुत्ता;كلب;собака;কুকুর;犬
dollar;dollar;dólar;dólar;dollar;美元;měiyuán;美元;měijyùn;डॉलर;دولار;доллар;ডলার;ドル
door;door;puerta;porta;porte;门;mén;门;mùn;द्वार;باب;дверь;দরজা;ドア
dot;dot;punto;ponto;point;点;diǎn;点;dím;बिंदु;نقطة;точка;বিন্দু;点
down;down;abajo;embaixo;dessous;下;xià;下;haa;नीचे;أسفل;вниз;নিচে;ダウン
drain;drain;sumidero;ralo;canalisation;NA;na;NA;NA;NA;NA;NA;NA;NA
draw;draw;dibujar;desenhar;dessiner;画;huà;画;waak;खींचना;رسم;рисовать;আঁকা;ドロー
drawer;drawer;cajón;gaveta;tiroir;抽屉;chōuti;抽屉;cāutâi;दराज;الدرج;ящик;টানা;引き出し
dream;dream;sueño;sonhe;rêve;梦;mèng;梦;mung;सपने देखना;حلم;мечтать;স্বপ্ন;夢
dress;dress;vestido;vestido;robe;裙子;qúnzi;裙子;kwànzí;परिधान;فستان;платье;পোশাক;ドレス
drink;drink;beber;beber;boire;喝;hē;喝;hôt;पीना;يشرب;пить;পান করতে;飲む
drive;drive;manejar;conduzir;conduire;驾车;jiàchē;驾车;gâacē;चलाना;قيادة;водить машину;ড্রাইভ;ドライブ
drop;drop;gota;gota;goutte;降低;jiàngdī;降低;gôngdāi;ड्रॉप;قطرة;уронить;ঝরা;落とす
drug;drug;droga;medicamento;drogue;药品;yàopǐn;药品;joekbán;दवाई;المخدرات;лека́рство;ড্রাগ;ドラッグ
dry;dry;seco;seco;sec;干燥;gānzào;干燥;gōncôu;सूखा;جاف;сухой;শুষ্ক;ドライ
dust;dust;polvo;pó;poussière;灰尘;huīchén;灰尘;fūicàn;धूल;تراب;пыль;ধূলিকণা;ほこり
ear;ear;oreja;orelha;oreille;耳朵;ěrduo;耳朵;jǐdó;कान;أذن;ухо;কান;耳
Earth;Earth;tierra;terra;terre;地球;dìqiú;地球;deikàu;धरती;أرض;земной шар;পৃথিবী;地球
east;east;este;leste;est;东方;dōngfāng;东方;dūngfōng;पूर्व;شرق;восток;পূর্ব;東
easy;easy;fácil;fácil;facile;简单;jiǎndān;简单;gáandāan;आसान;سهل;легко;সহজ;イージー
eat;eat;comer;comer;manger;吃;chī;吃;hêk;खा;تأكل;есть;খাওয়া;食べる
edge;edge;borde;beira;bord;边缘;biānyuán;边缘;bīnjyùn;एज;حافة;край;প্রান্ত;縁
egg;egg;huevo;ovo;œuf;蛋;dàn;蛋;dáan;अंडा;بيضة;яйцо;ডিম;卵
eight;eight;ocho;oito;huit;八;bā;八;bâat;आठ;ثمانية;восемь;আট;8
eighteen;eighteen;dieciocho;dezoito;dix-huit;十八;shíbā;十八;sapbâat;अठारह;ثمانية عشر;восемна́дцать;আঠার;18
eighty;eighty;ochenta;oitenta;quatre-vingts;八十;bāshí;八十;bâatsap;अस्सी;ثمانون;восемьдесят;আশি;80
election;election;elección;eleição;élection;选举;xuǎnjǔ;选举;syúngéoi;चुनाव;انتخاب;выборы;নির্বাচন;選挙
electronics;electronics;electrónica;eletrônicos;électronique;电子产品;diànzǐchǎnpǐn;电子产品;dinzícáanbán;इलेक्ट्रानिक्स;إلكترونيات;электроника;ইলেকট্রনিক্স;エレクトロニクス
eleven;eleven;once;onze;onze;十一;shíyī;十一;sapjāt;ग्यारह;أحد عشر;оди́ннадцать;এগার;十一
energy;energy;energía;energia;énergie;活力;huólì;活力;wutlik;ऊर्जा;طاقة;энергия;শক্তি;エネルギー
engine;engine;motor;motor;moteur;引擎;yǐnqíng;引擎;jǎnkìng;यन्त्र;محرك;двигатель;ইঞ্জিন;エンジン
escape;escape;escapar;escapar;s'échapper;逃脱;táotuō;逃脱;tòutyût;पलायन;يهرب;побег;অব্যাহতি;逃れる
evening;evening;noche;noite;soir;夜晚;yèwǎn;夜晚;jemǎan;रात;ليل;ночь;রাত;夜
exercise;exercise;ejercicio;exercício;exercer;锻炼;duànliàn;锻炼;dyûnlin;व्यायाम;تمرين;упражнение;ব্যায়াম;運動
expensive;expensive;costoso;caro;coûteux;昂贵;ángguì;昂贵;ngònggwâi;महंगा;غالي;дорогой;ব্যয়বহুল;高価な
explode;explode;explotar;explodir;exploser;爆炸;bàozhà;爆炸;bâauzâa;विस्फोट;ينفجر;взорваться;বিস্ফোরিত করা;爆発します
eye;eye;ojo;olho;œil;眼睛;yǎnjīng;眼睛;ngǎanzīng;आंख;عين;глаз;চোখ;眼
face;face;cara;cara;visage;脸;liǎn;脸;lǐm;चेहरा;وجه;лицо;মুখ;顔
fall (season);fall;otoño;outono;automne;秋;qiū;秋;cāu;गिरना;خريف;осень;পড়া;秋
fall (verb);fall;caer;cair;tomber;掉下;diào xià;掉下;diu haa;गिरने के लिये;يسقط;падать;পড়া;落ちる
family;family;familia;família;famille;家庭;jiātíng;家庭;gāatìng;परिवार;الأسرة;семья;পরিবার;家族
famous;famous;famoso;famoso;célèbre;著名;zhùmíng;著名;zyûmìng;ख्याति प्राप्त;مشهور;известный;বিখ্যাত;名高いです
fan (device);fan;ventilador;ventilador;ventilateur;扇子;shànzi;扇子;sînzí;पंखा;مروحة;поклонник;পাখা;ファン
fan (person);fan;fan;fã;fan;扇子;shànzi;扇子;sînzí;पंखा;معجب;поклонник;পাখা;ファン
far;far;lejos;longe;loin;远;yuǎn;远;jyǔn;दूर;بعيد;далеко;এ পর্যন্ত;遥か
farm;farm;granja;fazenda;cultiver;农场;nóngchǎng;农场;nùngcòeng;खेत;مزرعة;ферма;খামার;ファーム
fast;fast;rápido;rápido;rapide;快;kuài;快;fâai;तेज;سريع;быстрый;দ্রুত;速いです
father;father;padre;pai;père;爸爸;bàba;爸爸;bāabāa;पिता;بابا;папа;বাবা;パパ
feather;feather;pluma;pena;plume;羽毛;yǔmáo;羽毛;jyǔmòu;पंख;ريشة;перо́;পালক;フェザー
February;February;febrero;fevereiro;février;二月;èryuè;二月;jijyut;फ़रवरी;فبراير;февраль;ফেব্রুয়ারি;2月
feed;feed;alimentar;alimentação;nourrir;喂养;wèiyǎng;喂养;wâijǒeng;चारा;تغذية;подача;ভোজন;フィード
female;female;hembra;fêmea;femme;女性;nǚxìng;女性;něoisîng;महिला;أنثى;женский;মহিলা;女性
fifteen;fifteen;quince;quinze;quinze;十五;shíwǔ;十五;sapng;पंद्रह;خمسة عشر;пятнадцать;পনের;15
fifth;fifth;quinto;quinto;cinquième;第五;dìwǔ;第五;daing;पांचवां;خامس;пятый;পঞ্চম;第五の
fifty;fifty;cincuenta;cinquenta;cinquante;五十;wǔshí;五十;ngsap;पचास;خمسون;пятьдеся́т;পঞ্চাশ;五十
fight;fight;pelear;lutar;combattre;斗争;dòuzhēng;斗争;dâuzāng;लड़ने के लिए;ليقاتل;борьба;যুদ্ধ;戦うために
find;find;encontrar;encontrar;trouver;找;zhǎo;找;záau;खोज;تجد;найти;অনুসন্ধান;見つけます
finger;finger;dedo;dedo;doigt;手指;shǒuzhǐ;手指;sáuzí;उंगली;إصبع;палец;আঙ্গুল;指
fire;fire;fuego;fogo;feu;火;huǒ;火;fó;आग;إطلاق النار;огонь;আগুন;火
first;first;primero;primeiro;première;第一;dìyī;第一;daijāt;प्रथम;أول;первый;প্রথম;最初
fish;fish;pescado;peixe;poisson;鱼;yú;鱼;jyú;मछली;سمك;рыбы;মাছ;魚
