word;image;image_html;english;spanish;portuguese;french;french_audio;french_audio_html;chinese_simplified;chinese_pinyin;chinese_jyutping;hindi;arabic;russian;bengali;japanese
bag;vocab-bag.jpg;"<img src=""vocab-bag.jpg"">";bag;bolso;bolsa;sac;vocab-french-sac.mp3;[sound:vocab-french-sac.mp3];包;bāo;bāau;बैग;كيس;мешок;থলে;バッグ
ball;vocab-ball.jpg;"<img src=""vocab-ball.jpg"">";ball;pelota;bola;balle;vocab-french-balle.mp3;[sound:vocab-french-balle.mp3];球;qiú;kàu;गेंद;كرة;мяч;বল;玉
banana;vocab-banana.jpg;"<img src=""vocab-banana.jpg"">";banana;plátano;banana;banane;vocab-french-banane.mp3;[sound:vocab-french-banane.mp3];香蕉;xiāngjiāo;hōengzīu;केला;موز;банан;কলা;バナナ
band;vocab-band.jpg;"<img src=""vocab-band.jpg"">";band;banda;banda;bande;vocab-french-bande.mp3;[sound:vocab-french-bande.mp3];乐队;yuèduì;ngokdéoi;बैंड;حافظة مسافة;группа;দল;バンド
bank;vocab-bank.jpg;"<img src=""vocab-bank.jpg"">";bank;banco;banco;banque;vocab-french-banque.mp3;[sound:vocab-french-banque.mp3];银行;yínháng;ngànhòng;बैंक;مصرف;банк;ব্যাংক;バンク
bar;vocab-bar.jpg;"<img src=""vocab-bar.jpg"">";bar;bar;bar;bar;vocab-french-bar.mp3;[sound:vocab-french-bar.mp3];酒吧;jiǔbā;záubāa;पब;حانة;паб;মদের দোকান;パブ
bathroom;vocab-bathroom.jpg;"<img src=""vocab-bathroom.jpg"">";bathroom;baño;banheiro;salle de bain;vocab-french-salle de bain.mp3;[sound:vocab-french-salle de bain.mp3];浴室;yùshì;juksāt;बाथरूम;حمام;ванная;পায়খানা;バスルーム
beach;vocab-beach.jpg;"<img src=""vocab-beach.jpg"">";beach;playa;praia;plage;vocab-french-plage.mp3;[sound:vocab-french-plage.mp3];海滩;hǎitān;hóitāan;बीच;شاطئ بحر;пляж;সৈকত;ビーチ
beard;vocab-beard.jpg;"<img src=""vocab-beard.jpg"">";beard;barba;barba;barbe;vocab-french-barbe.mp3;[sound:vocab-french-barbe.mp3];胡须;húxū;wùsōu;दाढ़ी;لحية;борода;দাড়ি;髭
beat;vocab-beat.jpg;"<img src=""vocab-beat.jpg"">";beat;derrotar;bater;battre;vocab-french-battre.mp3;[sound:vocab-french-battre.mp3];击败;jībài;gīkbaai;हारना;يهزم;разбивать;সর্বনাশ;負かす
beautiful;vocab-beautiful.jpg;"<img src=""vocab-beautiful.jpg"">";beautiful;hermoso;belo;belle;vocab-french-belle.mp3;[sound:vocab-french-belle.mp3];美的;měidí;měidīk;सुंदर;جميل;красивый;সুন্দর;美人だ
bed;vocab-bed.jpg;"<img src=""vocab-bed.jpg"">";bed;cama;cama;lit;vocab-french-lit.mp3;[sound:vocab-french-lit.mp3];床;chuáng;còng;बिस्तर;السرير;кровать;বিছানা;ベッド
bedroom;vocab-bedroom.jpg;"<img src=""vocab-bedroom.jpg"">";bedroom;habitación;quarto;chambre à coucher;vocab-french-chambre à coucher.mp3;[sound:vocab-french-chambre à coucher.mp3];卧室;wòshì;ngosāt;शयनकक्ष;غرفة نوم;спальня;শয়নকক্ষ;ベッドルーム
beef;vocab-beef.jpg;"<img src=""vocab-beef.jpg"">";beef;carne de vaca;carne bovina;boeuf;vocab-french-boeuf.mp3;[sound:vocab-french-boeuf.mp3];牛肉;niúròu;ngàujuk;भैस का मांस;لحم بقر;говядина;গরুর মাংস;牛肉
beer;vocab-beer.jpg;"<img src=""vocab-beer.jpg"">";beer;cerveza;cerveja;bière;vocab-french-bière.mp3;[sound:vocab-french-bière.mp3];啤酒;píjiǔ;bēzáu;बीयर;بيرة;пиво;বিয়ার;ビール
bend;vocab-bend.jpg;"<img src=""vocab-bend.jpg"">";bend;doblar;dobrar;plier;vocab-french-plier.mp3;[sound:vocab-french-plier.mp3];使弯曲;shǐ wānqū;sí wāankūk;मोड़ने के लिए;للانحناء;согнуть;বাঁকানো;曲がる
beverage;vocab-beverage.jpg;"<img src=""vocab-beverage.jpg"">";beverage;bebida;bebida;boisson;vocab-french-boisson.mp3;[sound:vocab-french-boisson.mp3];喝;hē;hôt;पीना;يشرب;напиток;পান করা;ドリンク
bicycle;vocab-bicycle.jpg;"<img src=""vocab-bicycle.jpg"">";bicycle;bicicleta;bicicleta;vélo;vocab-french-vélo.mp3;[sound:vocab-french-vélo.mp3];自行车;zìxíngchē;zihàngcē;साइकिल;دراجة;велосипед;সাইকেল;自転車
big;vocab-big.jpg;"<img src=""vocab-big.jpg"">";big;grande;grande;grand;vocab-french-grand.mp3;[sound:vocab-french-grand.mp3];大的;dà de;daai dīk;बड़े;كبير;большой;বিশাল;大きい
bill;vocab-bill.jpg;"<img src=""vocab-bill.jpg"">";bill;cuenta;cobrar;facture;vocab-french-facture.mp3;[sound:vocab-french-facture.mp3];账单;zhàngdān;zôengdāan;बिल;فاتورة;законопроект;বিল;ビル
billion;vocab-billion.jpg;"<img src=""vocab-billion.jpg"">";billion;mil millones;bilhão;milliard;vocab-french-milliard.mp3;[sound:vocab-french-milliard.mp3];十亿;shíyì;sapjīk;एक अरब;مليار;миллиард;বিলিয়ন;十億
bird;vocab-bird.jpg;"<img src=""vocab-bird.jpg"">";bird;pájaro;pássaro;oiseau;vocab-french-oiseau.mp3;[sound:vocab-french-oiseau.mp3];鸟;niǎo;nǐu;चिड़िया;عصفور;птица;পাখি;鳥
black;vocab-black.jpg;"<img src=""vocab-black.jpg"">";black;negro;preto;noir;vocab-french-noir.mp3;[sound:vocab-french-noir.mp3];黑色的;hēisè de;hāksīk dīk;काली;أسود;чернить;কালো;黒
blind;vocab-blind.jpg;"<img src=""vocab-blind.jpg"">";blind;ciego;cego;aveugle;vocab-french-aveugle.mp3;[sound:vocab-french-aveugle.mp3];瞎的;xiā de;hat dīk;अंधा;أعمى;слепой;অন্ধ;ブラインド
blood;vocab-blood.jpg;"<img src=""vocab-blood.jpg"">";blood;sangre;sangue;sang;vocab-french-sang.mp3;[sound:vocab-french-sang.mp3];血;xuè;hyût;रक्त;دم;кровь;রক্ত;血液
blue;vocab-blue.jpg;"<img src=""vocab-blue.jpg"">";blue;azul;azul;bleu;vocab-french-bleu.mp3;[sound:vocab-french-bleu.mp3];蓝色;lánsè;làamsīk;नीला;أزرق;синий;নীল;青い
boat;vocab-boat.jpg;"<img src=""vocab-boat.jpg"">";boat;bote;barco;bateau;vocab-french-bateau.mp3;[sound:vocab-french-bateau.mp3];船;chuán;syùn;नाव;قارب;лодка;নৌকা;ボート
body;vocab-body.jpg;"<img src=""vocab-body.jpg"">";body;cuerpo;corpo;corps;vocab-french-corps.mp3;[sound:vocab-french-corps.mp3];身体;shēntǐ;sāntái;तन;جسم;тело;শরীর;体
bone;vocab-bone.jpg;"<img src=""vocab-bone.jpg"">";bone;hueso;osso;os;vocab-french-os.mp3;[sound:vocab-french-os.mp3];骨;gǔ;gwāt;हड्डी;عظم;кость;হাড়;骨
book;vocab-book.jpg;"<img src=""vocab-book.jpg"">";book;libro;livro;livre;vocab-french-livre.mp3;[sound:vocab-french-livre.mp3];书;shū;syū;पुस्तक;الكتاب;книга;বই;本
bottle;vocab-bottle.jpg;"<img src=""vocab-bottle.jpg"">";bottle;botella;garrafa;bouteille;vocab-french-bouteille.mp3;[sound:vocab-french-bouteille.mp3];瓶子;píngzi;pìngzí;बोतल;زجاجة;бутылка;বোতল;ボトル
bottom;vocab-bottom.jpg;"<img src=""vocab-bottom.jpg"">";bottom;fondo;fundo;bas;vocab-french-bas.mp3;[sound:vocab-french-bas.mp3];背景;bèijǐng;bûigíng;पृष्ठभूमि;معرفتي;фон;পটভূমি;バックグラウンド
box;vocab-box.jpg;"<img src=""vocab-box.jpg"">";box;caja;caixa;boîte;vocab-french-boîte.mp3;[sound:vocab-french-boîte.mp3];盒子;hézi;hapzí;डिब्बा;علبة;коробка;বক্স;ボックス
boy;vocab-boy.jpg;"<img src=""vocab-boy.jpg"">";boy;muchacho;menino;garçon;vocab-french-garçon.mp3;[sound:vocab-french-garçon.mp3];男孩;nánhái;nàamhàai;लड़का;صبي;мальчик;ছেলে;男の子
brain;vocab-brain.jpg;"<img src=""vocab-brain.jpg"">";brain;cerebro;cérebro;cerveau;vocab-french-cerveau.mp3;[sound:vocab-french-cerveau.mp3];脑;nǎo;nǒu;दिमाग;مخ;мозг;মস্তিষ্ক;脳
bread;vocab-bread.jpg;"<img src=""vocab-bread.jpg"">";bread;pan;pão;pain;vocab-french-pain.mp3;[sound:vocab-french-pain.mp3];面包;miànbāo;minbāau;रोटी;رغيف الخبز;хлеб;রুটি;パン
break;vocab-break.jpg;"<img src=""vocab-break.jpg"">";break;romper;intervalo;pause;vocab-french-pause.mp3;[sound:vocab-french-pause.mp3];休息;xiūxi;jāusīk;टूटना;فترة راحة;перемена;বিরতি;ブレーク
breakfast;vocab-breakfast.jpg;"<img src=""vocab-breakfast.jpg"">";breakfast;desayuno;café da manhã;petit-déjeuner;vocab-french-petit-déjeuner.mp3;[sound:vocab-french-petit-déjeuner.mp3];早餐;zǎocān;zóucāan;सुबह का नाश्ता;وجبة افطار;завтрак;ব্রেকফাস্ট;朝ごはん
bridge;vocab-bridge.jpg;"<img src=""vocab-bridge.jpg"">";bridge;puente;ponte;pont;vocab-french-pont.mp3;[sound:vocab-french-pont.mp3];桥;qiáo;kìu;पुल;كوبري;мост;সেতু;ブリッジ
bring;vocab-bring.jpg;"<img src=""vocab-bring.jpg"">";bring;traer;trazer;apporter;vocab-french-apporter.mp3;[sound:vocab-french-apporter.mp3];带来;dàilái;dâailòi;लाना;احضر;приносить;আনা;持って来ます
brother;vocab-brother.jpg;"<img src=""vocab-brother.jpg"">";brother;hermano;irmão;frère;vocab-french-frère.mp3;[sound:vocab-french-frère.mp3];兄弟;xiōngdì;hīngdai;भाई साहब;شقيق;брат;ভাই;兄
brown;vocab-brown.jpg;"<img src=""vocab-brown.jpg"">";brown;marrón;castanho;marron;vocab-french-marron.mp3;[sound:vocab-french-marron.mp3];棕色的;zōngsè de;zūngsīk dīk;भूरा;بني;коричневый;বাদামী;褐色
build;vocab-build.jpg;"<img src=""vocab-build.jpg"">";build;construir;construir;construire;vocab-french-construire.mp3;[sound:vocab-french-construire.mp3];建造;jiànzào;gînzou;बिल्ड;يبني;строить;বিল্ড;ビルド
building;vocab-building.jpg;"<img src=""vocab-building.jpg"">";building;edificio;edifício;bâtiment;vocab-french-bâtiment.mp3;[sound:vocab-french-bâtiment.mp3];大厦;dàshà;daaihaa;इमारत;بناء;строительство;ভবন;建物
burn;vocab-burn.jpg;"<img src=""vocab-burn.jpg"">";burn;quemar;queimar;brûler;vocab-french-brûler.mp3;[sound:vocab-french-brûler.mp3];烧毁;shāohuǐ;sīuwái;जलाना;حرق;гореть;পোড়া;燃やす
bus;vocab-bus.jpg;"<img src=""vocab-bus.jpg"">";bus;autobús;ônibus;bus;vocab-french-bus.mp3;[sound:vocab-french-bus.mp3];公共汽车;gōnggòngqìchē;gūnggunghêicē;बस;أوتوبيس;автобус;বাস;バス
buy;vocab-buy.jpg;"<img src=""vocab-buy.jpg"">";buy;comprar;comprar;acheter;vocab-french-acheter.mp3;[sound:vocab-french-acheter.mp3];购买;gòumǎi;kâumǎai;खरीद फरोख्त;شراء;покупка;ক্রয়;購入
cake;vocab-cake.jpg;"<img src=""vocab-cake.jpg"">";cake;pastel;bolo;gâteau;vocab-french-gâteau.mp3;[sound:vocab-french-gâteau.mp3];蛋糕;dàngāo;daangōu;केक;كيك;торт;পিষ্টক;ケーキ
call;vocab-call.jpg;"<img src=""vocab-call.jpg"">";call;llamar;chamar;appeler;vocab-french-appeler.mp3;[sound:vocab-french-appeler.mp3];打电话给;dǎdiànhuà gěi;dáadinwáa kāp;कॉल;مكالمة;вызов;কল;コール
camera;vocab-camera.jpg;"<img src=""vocab-camera.jpg"">";camera;cámara;câmera;caméra;vocab-french-caméra.mp3;[sound:vocab-french-caméra.mp3];相机;xiàngjī;sôenggēi;कैमरा;كاميرا;камера;ক্যামেরা;カメラ
camp;vocab-camp.jpg;"<img src=""vocab-camp.jpg"">";camp;campamento;acampamento;camp;vocab-french-camp.mp3;[sound:vocab-french-camp.mp3];营地;yíng dì;jìngdei;शिविर;مخيّم;лагерь;শিবির;キャンプ
car;vocab-car.jpg;"<img src=""vocab-car.jpg"">";car;carro;carro;voiture;vocab-french-voiture.mp3;[sound:vocab-french-voiture.mp3];车;chē;cē;गाड़ी;جمل;машина;গাড়ী;車
card;vocab-card.jpg;"<img src=""vocab-card.jpg"">";card;tarjeta;cartão;carte;vocab-french-carte.mp3;[sound:vocab-french-carte.mp3];卡片;kǎpiàn;kāatpín;कार्ड;بطاقة;карта;কার্ড;カード
carry;vocab-carry.jpg;"<img src=""vocab-carry.jpg"">";carry;llevar;carregar;porter;vocab-french-porter.mp3;[sound:vocab-french-porter.mp3];搬;bān;būn;ले जाने के लिए;ليحمل;нести;বহন করা;運ぶ
cat;vocab-cat.jpg;"<img src=""vocab-cat.jpg"">";cat;gato;gato;chat;vocab-french-chat.mp3;[sound:vocab-french-chat.mp3];猫;māo;māau;बिल्ली;قطة;кот;বিড়াল;ネコ
catch;vocab-catch.jpg;"<img src=""vocab-catch.jpg"">";catch;capturar;pegar;attraper;vocab-french-attraper.mp3;[sound:vocab-french-attraper.mp3];抓住;zhuāzhù;záauzyu;पकड़ने के लिए;للإمساك;ловить;ধরা;捕まえる
ceiling;vocab-ceiling.jpg;"<img src=""vocab-ceiling.jpg"">";ceiling;techo;teto;plafond;vocab-french-plafond.mp3;[sound:vocab-french-plafond.mp3];天花板;tiānhuābǎn;tīnfāabáan;छत;السقف;потолок;ছাদ;天井
cell phone;vocab-cell phone.jpg;"<img src=""vocab-cell phone.jpg"">";cell phone;celular;celular;téléphone cellulaire;vocab-french-téléphone cellulaire.mp3;[sound:vocab-french-téléphone cellulaire.mp3];手机;shǒujī;sáugēi;सेलफोन;الهاتف الخلوي;сотовый телефон;মুঠোফোন;携帯電話
centimeter;vocab-centimeter.jpg;"<img src=""vocab-centimeter.jpg"">";centimeter;centímetro;centímetro;centimètre;vocab-french-centimètre.mp3;[sound:vocab-french-centimètre.mp3];厘米;límǐ;lèimǎi;सेंटीमीटर;سنتيمتر;сантиметр;সেনটিমিটার;センチメートル
chair;vocab-chair.jpg;"<img src=""vocab-chair.jpg"">";chair;silla;cadeira;chaise;vocab-french-chaise.mp3;[sound:vocab-french-chaise.mp3];椅子;yǐzi;jízí;कुरसी;كرسي;стул;চেয়ার;椅子
cheap;vocab-cheap.jpg;"<img src=""vocab-cheap.jpg"">";cheap;barato;barato;bon marché;vocab-french-bon marché.mp3;[sound:vocab-french-bon marché.mp3];廉价;liánjià;lìmgâa;सस्ता;رخيص;дешевый;সস্তা;安いです
cheese;vocab-cheese.jpg;"<img src=""vocab-cheese.jpg"">";cheese;queso;queijo;fromage;vocab-french-fromage.mp3;[sound:vocab-french-fromage.mp3];起司;qǐsī;héisī;पनीर;جبنه;сыр;পনির;チーズ
chicken;vocab-chicken.jpg;"<img src=""vocab-chicken.jpg"">";chicken;pollo;frango;poulet;vocab-french-poulet.mp3;[sound:vocab-french-poulet.mp3];鸡;jī;gāi;मुर्गी;دجاج;курица;মুরগির মাংস;チキン
child;vocab-child.jpg;"<img src=""vocab-child.jpg"">";child;niño;criança;enfant;vocab-french-enfant.mp3;[sound:vocab-french-enfant.mp3];孩子;háizi;hàaizí;बच्चा;طفل;ребёнок;শিশু;子供
church;vocab-church.jpg;"<img src=""vocab-church.jpg"">";church;iglesia;igreja;église;vocab-french-église.mp3;[sound:vocab-french-église.mp3];教会;jiàohuì;gâauwúi;चर्च;كنيسة;церковь;গির্জা;教会
circle;vocab-circle.jpg;"<img src=""vocab-circle.jpg"">";circle;círculo;círculo;cercle;vocab-french-cercle.mp3;[sound:vocab-french-cercle.mp3];圆圈;yuánquān;jyùnhyūn;वृत्त;دائرة;круг;বৃত্ত;サークル
city;vocab-city.jpg;"<img src=""vocab-city.jpg"">";city;ciudad;cidade;ville;vocab-french-ville.mp3;[sound:vocab-french-ville.mp3];城市;chéngshì;sìngsǐ;शहर;مدينة;город;শহর;市
clay;vocab-clay.jpg;"<img src=""vocab-clay.jpg"">";clay;arcilla;argila;argile;vocab-french-argile.mp3;[sound:vocab-french-argile.mp3];黏土;niántǔ;nīmtóu;चिकनी मिट्टी;فخار;глина;কাদামাটি;粘土
clean (adjective);vocab-clean (adjective).jpg;"<img src=""vocab-clean (adjective).jpg"">";clean;limpio;limpo;propre;vocab-french-propre.mp3;[sound:vocab-french-propre.mp3];干净的;gānjìng de;gōnzeng dīk;स्वच्छ;نظيف;чистый;পরিষ্কার;掃除
clean (verb);vocab-clean (verb).jpg;"<img src=""vocab-clean (verb).jpg"">";clean;limpiar;limpar;nettoyer;vocab-french-nettoyer.mp3;[sound:vocab-french-nettoyer.mp3];清洁;qīngjié;cīnggît;साफ करना;لينظف;чистить;পরিস্কার করতে;掃除
clock;vocab-clock.jpg;"<img src=""vocab-clock.jpg"">";clock;reloj;relógio;horloge;vocab-french-horloge.mp3;[sound:vocab-french-horloge.mp3];时钟;shízhōng;sìzūng;घड़ी;ساعة حائط;часы;ঘড়ি;時計
close;vocab-close.jpg;"<img src=""vocab-close.jpg"">";close;cerrar;fechar;fermer;vocab-french-fermer.mp3;[sound:vocab-french-fermer.mp3];关上;guānshàng;gwāansǒeng;बंद कर देना;لإغلاق;закрыть;কাছে;閉じる
clothing;vocab-clothing.jpg;"<img src=""vocab-clothing.jpg"">";clothing;ropa;roupas;vêtements;vocab-french-vêtements.mp3;[sound:vocab-french-vêtements.mp3];服装;fúzhuāng;fukzōng;कपड़े;ملابس;одежда;বস্ত্র;衣類
club;vocab-club.jpg;"<img src=""vocab-club.jpg"">";club;club;clube;club;vocab-french-club.mp3;[sound:vocab-french-club.mp3];俱乐部;jùlèbù;kēoilokbou;क्लब;النادي;клуб;ক্লাব;クラブ
coat;vocab-coat.jpg;"<img src=""vocab-coat.jpg"">";coat;saco;casaco;manteau;vocab-french-manteau.mp3;[sound:vocab-french-manteau.mp3];外套;wàitào;ngoitôu;कोट;معطف;пальто;কোট;コート
coffee;vocab-coffee.jpg;"<img src=""vocab-coffee.jpg"">";coffee;café;café;café;vocab-french-café.mp3;[sound:vocab-french-café.mp3];咖啡;kāfēi;gâafē;कॉफ़ी;قهوة;кофе;কফি;コーヒー
cold;vocab-cold.jpg;"<img src=""vocab-cold.jpg"">";cold;frío;frio;froid;vocab-french-froid.mp3;[sound:vocab-french-froid.mp3];寒冷的;hánlěng de;hònlǎang dīk;सर्दी;البرد;холодный;ঠান্ডা;コールド
color;vocab-color.jpg;"<img src=""vocab-color.jpg"">";color;color;cor;couleur;vocab-french-couleur.mp3;[sound:vocab-french-couleur.mp3];颜色;yánsè;ngàansīk;रंग;اللون;цвет;রঙ;色
come;vocab-come.jpg;"<img src=""vocab-come.jpg"">";come;venir;vir;venir;vocab-french-venir.mp3;[sound:vocab-french-venir.mp3];来;lái;lòi;आइए;ليأتي;приехать;আসা;来ます
computer;vocab-computer.jpg;"<img src=""vocab-computer.jpg"">";computer;computadora;computador;ordinateur;vocab-french-ordinateur.mp3;[sound:vocab-french-ordinateur.mp3];电脑;diànnǎo;dinnǒu;संगणक;الحاسوب;компьютер;কম্পিউটার;コンピューター
consonant;vocab-consonant.jpg;"<img src=""vocab-consonant.jpg"">";consonant;consonante;consoante;consonne;vocab-french-consonne.mp3;[sound:vocab-french-consonne.mp3];辅音;fǔyīn;fujām;व्यंजन;حرف ساكن;согласный звук;ব্যঞ্জনবর্ণ;子音
contract;vocab-contract.jpg;"<img src=""vocab-contract.jpg"">";contract;contrato;contrato;contrat;vocab-french-contrat.mp3;[sound:vocab-french-contrat.mp3];合同;hétóng;haptùng;अनुबंध;اتفافية;договор;চুক্তি;契約する
cook;vocab-cook.jpg;"<img src=""vocab-cook.jpg"">";cook;cocinar;cozinhar;cuisiner;vocab-french-cuisiner.mp3;[sound:vocab-french-cuisiner.mp3];做饭;zuòfàn;zoufaan;पकाना;للطبخ;готовить;রান্না করতে;料理する
copper;vocab-copper.jpg;"<img src=""vocab-copper.jpg"">";copper;cobre;cobre;cuivre;vocab-french-cuivre.mp3;[sound:vocab-french-cuivre.mp3];铜;tóng;tùng;तांबा;نحاس;медь;তামা;銅
corn;vocab-corn.jpg;"<img src=""vocab-corn.jpg"">";corn;maíz;milho;maïs;vocab-french-maïs.mp3;[sound:vocab-french-maïs.mp3];玉米;yùmǐ;jukmǎi;मक्का;حبوب ذرة;кукуруза;ভূট্টা;コーン
corner;vocab-corner.jpg;"<img src=""vocab-corner.jpg"">";corner;esquina;canto;coin;vocab-french-coin.mp3;[sound:vocab-french-coin.mp3];角落;jiǎoluò;gôklok;कोने;ركن;угол;কোণ;コーナー
count;vocab-count.jpg;"<img src=""vocab-count.jpg"">";count;contar;contar;compter;vocab-french-compter.mp3;[sound:vocab-french-compter.mp3];告诉;gàosu;gôusôu;कहना;أقول;рассказать;বলা;伝えます
country;vocab-country.jpg;"<img src=""vocab-country.jpg"">";country;país;país;pays;vocab-french-pays.mp3;[sound:vocab-french-pays.mp3];国家;guójiā;gwôkgāa;देश;بلد;страна;দেশ;国
court;vocab-court.jpg;"<img src=""vocab-court.jpg"">";court;corte;quadra;cour;vocab-french-cour.mp3;[sound:vocab-french-cour.mp3];法庭;fǎtíng;fâattìng;कोर्ट;ملعب تنس;корт;আদালত;裁判所
